client,config,latency_ms
Besu,Baseline,170.01152
Besu,Baseline,152.567863
Besu,Baseline,170.583248
Besu,Baseline,165.882111
Besu,Baseline,68.031549
Besu,Baseline,28.287649
Besu,Baseline,222.864628
Besu,Baseline,51.959515
Besu,Baseline,10.599613
Besu,Baseline,15.045166
Besu,Baseline,22.763252
Besu,Baseline,41.231155
Besu,Baseline,39.463997
Besu,Baseline,28.742313
Besu,Baseline,102.91028
Besu,Baseline,65.131426
Besu,Baseline,96.788168
Besu,Baseline,63.165188
Besu,Baseline,32.789469
Besu,Baseline,72.736025
Besu,Baseline,138.743639
Besu,Baseline,153.398991
Besu,Baseline,179.367781
Besu,Baseline,126.507998
Besu,Baseline,76.550722
Besu,Baseline,141.823769
Besu,Baseline,151.366711
Besu,Baseline,101.305008
Besu,Baseline,24.61195
Besu,Baseline,94.928503
Besu,Baseline,219.818354
Besu,Baseline,155.910969
Besu,Baseline,25.974035
Besu,Baseline,87.398767
Besu,Baseline,264.198065
Besu,Baseline,247.44153
Besu,Baseline,134.001732
Besu,Baseline,97.654104
Besu,Baseline,58.589935
Besu,Baseline,298.807621
Besu,Baseline,44.428587
Besu,Baseline,72.436571
Besu,Baseline,121.260405
Besu,Baseline,204.546928
Besu,Baseline,103.834152
Besu,Baseline,56.559086
Besu,Baseline,30.014277
Besu,Baseline,83.722591
Besu,Baseline,26.119471
Besu,Baseline,407.635927
Besu,Baseline,362.123966
Besu,Baseline,71.986914
Besu,Baseline,360.08215
Besu,Baseline,53.985119
Besu,Baseline,323.97604
Besu,Baseline,274.401426
Besu,Baseline,60.759306
Besu,Baseline,49.433231
Besu,Baseline,221.257925
Besu,Baseline,121.836662
Besu,Baseline,33.154964
Besu,Baseline,457.105398
Besu,Baseline,311.092377
Besu,Baseline,262.021542
Besu,Baseline,26.062489
Besu,Baseline,69.273233
Besu,Baseline,100.040197
Besu,Baseline,259.689569
Besu,Baseline,53.829193
Besu,Baseline,25.339842
Besu,Baseline,171.930075
Besu,Baseline,56.069136
Besu,Baseline,143.88752
Besu,Baseline,136.411428
Besu,Baseline,52.367449
Besu,Baseline,300.356627
Besu,Baseline,219.652653
Besu,Baseline,19.8071
Besu,Baseline,81.22015
Besu,Baseline,18.377542
Besu,Baseline,20.01667
Besu,Baseline,24.386644
Besu,Baseline,31.39019
Besu,Baseline,65.995932
Besu,Baseline,48.41423
Besu,Baseline,82.007408
Besu,Baseline,21.03281
Besu,Baseline,92.820168
Besu,Baseline,35.405159
Besu,Baseline,25.322199
Besu,Baseline,84.418058
Besu,Baseline,133.271694
Besu,Baseline,135.3724
Besu,Baseline,31.118393
Besu,Baseline,141.770601
Besu,Baseline,128.325939
Besu,Baseline,43.514729
Besu,Baseline,107.880592
Besu,Baseline,159.71446
Besu,Baseline,171.2749
Besu,Baseline,184.23152
Besu,Baseline,88.598967
Besu,Baseline,65.256834
Besu,Baseline,45.102358
Besu,Baseline,218.437672
Besu,Baseline,211.729765
Besu,Baseline,156.481743
Besu,Baseline,150.611401
Besu,Baseline,129.056454
Besu,Baseline,48.999071
Besu,Baseline,265.888929
Besu,Baseline,91.625452
Besu,Baseline,258.244514
Besu,Baseline,87.682486
Besu,Baseline,272.546768
Besu,Baseline,27.70257
Besu,Baseline,111.386776
Besu,Baseline,143.883944
Besu,Baseline,48.44594
Besu,Baseline,83.675623
Besu,Baseline,347.70298
Besu,Baseline,308.223009
Besu,Baseline,205.971003
Besu,Baseline,154.247999
Besu,Baseline,26.610613
Besu,Baseline,330.245733
Besu,Baseline,104.755163
Besu,Baseline,229.136944
Besu,Baseline,141.392469
Besu,Baseline,59.896708
Besu,Baseline,11.188984
Besu,Baseline,16.709089
Besu,Baseline,26.564837
Besu,Baseline,32.436848
Besu,Baseline,29.487848
Besu,Baseline,51.884651
Besu,Baseline,79.328537
Besu,Baseline,75.380802
Besu,Baseline,51.082611
Besu,Baseline,23.247719
Besu,Baseline,95.336914
Besu,Baseline,56.875944
Besu,Baseline,72.192192
Besu,Baseline,19.307613
Besu,Baseline,25.702477
Besu,Baseline,90.009928
Besu,Baseline,98.7463
Besu,Baseline,126.467705
Besu,Baseline,127.110481
Besu,Baseline,194.23008
Besu,Baseline,176.407814
Besu,Baseline,26.203871
Besu,Baseline,45.330524
Besu,Baseline,21.44289
Besu,Baseline,194.258928
Besu,Baseline,182.262897
Besu,Baseline,74.613333
Besu,Baseline,163.062811
Besu,Baseline,53.431749
Besu,Baseline,57.991982
Besu,Baseline,102.415323
Besu,Baseline,211.059332
Besu,Baseline,99.402905
Besu,Baseline,186.558485
Besu,Baseline,86.400509
Besu,Baseline,281.063795
Besu,Baseline,318.277597
Besu,Baseline,21.950245
Besu,Baseline,197.169304
Besu,Baseline,96.564293
Besu,Baseline,33.640862
Besu,Baseline,270.190239
Besu,Baseline,21.703482
Besu,Baseline,20.754337
Besu,Baseline,99.370718
Besu,Baseline,25.340319
Besu,Baseline,286.438704
Besu,Baseline,21.155596
Besu,Baseline,168.205738
Besu,Baseline,142.167568
Besu,Baseline,168.543816
Besu,Baseline,55.222511
Besu,Baseline,78.332663
Besu,Baseline,323.132277
Besu,Baseline,198.615313
Besu,Baseline,36.039591
Besu,Baseline,276.562452
Besu,Baseline,160.698175
Besu,Baseline,433.51388
Besu,Baseline,94.598055
Besu,Baseline,114.121437
Besu,Baseline,223.317385
Besu,Baseline,239.85076
Besu,Baseline,194.595098
Besu,Baseline,257.86376
Besu,Baseline,132.492781
Besu,Baseline,196.88797
Besu,Baseline,459.807873
Besu,Baseline,16.808748
Besu,Baseline,56.690216
Besu,Baseline,84.434509
Besu,Baseline,81.125736
Besu,Baseline,63.040972
Besu,Baseline,596.825838
Besu,Baseline,41.175127
Besu,Baseline,139.549017
Besu,Baseline,157.879353
Besu,Baseline,496.040106
Besu,Baseline,189.739466
Besu,Baseline,115.013838
Besu,Baseline,154.294252
Besu,Baseline,403.50771
Besu,Baseline,111.86552
Besu,Baseline,229.46763
Besu,Baseline,83.790064
Besu,Baseline,262.288094
Besu,Baseline,26.344299
Besu,Baseline,91.999054
Besu,Baseline,141.55674
Besu,Baseline,85.246086
Besu,Baseline,48.200369
Besu,Baseline,104.966879
Besu,Baseline,122.04814
Besu,Baseline,57.134628
Besu,Baseline,27.162075
Besu,Baseline,212.251902
Besu,Baseline,270.275831
Besu,Baseline,36.59296
Besu,Baseline,32.689095
Besu,Baseline,88.144302
Besu,Baseline,110.310078
Besu,Baseline,26.965141
Besu,Baseline,18.509626
Besu,Baseline,37.57143
Besu,Baseline,41.016817
Besu,Baseline,26.05629
Besu,Baseline,66.856146
Besu,Baseline,88.102818
Besu,Baseline,61.682224
Besu,Baseline,46.497583
Besu,Baseline,135.742426
Besu,Baseline,85.460901
Besu,Baseline,72.280645
Besu,Baseline,134.265661
Besu,Baseline,95.959902
Besu,Baseline,116.176605
Besu,Baseline,144.794941
Besu,Baseline,129.085779
Besu,Baseline,164.984941
Besu,Baseline,99.698782
Besu,Baseline,24.315119
Besu,Baseline,188.662291
Besu,Baseline,155.342817
Besu,Baseline,202.643394
Besu,Baseline,40.697098
Besu,Baseline,109.514713
Besu,Baseline,238.885403
Besu,Baseline,166.595697
Besu,Baseline,41.057348
Besu,Baseline,196.317434
Besu,Baseline,25.636435
Besu,Baseline,147.805691
Besu,Baseline,254.448652
Besu,Baseline,136.098623
Besu,Baseline,244.127035
Besu,Baseline,36.158085
Besu,Baseline,173.997164
Besu,Baseline,119.962692
Besu,Baseline,21.905661
Besu,Baseline,124.425411
Besu,Baseline,88.591814
Besu,Baseline,32.22847
Besu,Baseline,32.730103
Besu,Baseline,200.833082
Besu,Baseline,26.906013
Besu,Baseline,43.40291
Besu,Baseline,235.369682
Besu,Baseline,65.778255
Besu,Baseline,37.064552
Besu,Baseline,356.295347
Besu,Baseline,51.125288
Besu,Baseline,44.623852
Besu,Baseline,109.060526
Besu,Baseline,280.056477
Besu,Baseline,370.426893
Besu,Baseline,20.913839
Besu,Baseline,76.142788
Besu,Baseline,115.080118
Besu,Baseline,70.612192
Besu,Baseline,227.662802
Besu,Baseline,61.107397
Besu,Baseline,77.508926
Besu,Baseline,48.268557
Besu,Baseline,237.599373
Besu,Baseline,245.565414
Besu,Baseline,49.982309
Besu,Baseline,274.369717
Besu,Baseline,116.301298
Besu,Baseline,60.243368
Besu,Baseline,19.983768
Besu,Baseline,19.519091
Besu,Baseline,477.981806
Besu,Baseline,71.528196
Besu,Baseline,71.062565
Besu,Baseline,135.980368
Besu,Baseline,93.964338
Besu,Baseline,155.20978
